DEFINIENDUM,GENUS,HAS_CAUSE,HAS_FORM,HAS_FUNCTION,HAS_LOCATION,HAS_SIZE,SENTENCE 
pit,hole,,"deep hole , generally circular in outline , having vertical or nearly vertical walls",,,,"pit: A deep hole, generally circular in outline, having vertical or nearly vertical walls."
piton,hill,,having sharply pointed peak,,,,piton: Limestone hill having sharply pointed peak.
pitted plain,Plain,,,,,,pitted plain: Plain having numerous small closely spaced closed depressions.
pocket,cavity,Solution,shaped like the interior of a round-bottomed kettle,,"in ceiling , floor , or walls of a cave",,"pocket: Solution cavity in ceiling, floor, or walls of a cave, shaped like the interior of a round-bottomed kettle; unrelated to joints or bedding."
interior valley,closed depression,,and surrounded by generally steep walls of limestone|closed,,In areas of karst topography,in some places several kilometers long and wide,"polje: In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym: interior valley."
polje,closed depression,,and surrounded by generally steep walls of limestone|closed,,In areas of karst topography,in some places several kilometers long and wide,"polje: In areas of karst topography, a very large closed depression, in some places several kilometers long and wide, having a flat floor either of bare limestone or covered by alluvium, and surrounded by generally steep walls of limestone. Synonym: interior valley."
polygonal karst,karst area,,the divides of which form a crudely polygonal network,,"Especially common in humid tropical cone-karst terrain , but also found in well-formed temperate doline-karst terrain",,"polygonal karst: A karst area where the surface is completely pitted with closed depressions, the divides of which form a crudely polygonal network. Especially common in humid tropical cone-karst terrain, but also found in well-formed temperate doline-karst terrain."
ponor,Hole,,,through which water passes to or from an underground channel,in the bottom or side of a closed depression,,"ponor: Hole in the bottom or side of a closed depression through which water passes to or from an underground channel. Compare swallet, swallow hole."
pool deposit,Crystalline material,,,,deposited in an isolated pool in a cave,,pool deposit: Crystalline material deposited in an isolated pool in a cave.
pore deposit,Mineral matter,from water entering the cave so slowly through pores and cracks that it does not form drops,,,deposited on the interior of a cave,,pore deposit: Mineral matter deposited on the interior of a cave from water entering the cave so slowly through pores and cracks that it does not form drops.
porthole,opening,natural,nearly circular,,in a thin rock wall in a cave,,porthole: A nearly circular natural opening in a thin rock wall in a cave. See also window.
pothole,,"by sand , gravel , and stones being spun around by force of the currents",rounded,,"worn into rock in a streambed , at a waterfall , or near sea level",small,"pothole: A small rounded hole worn into rock in a streambed, at a waterfall, or near sea level by sand, gravel, and stones being spun around by force of the currents; a nature mill."
pothole,shaft,,vertical or steeply inclined,,,,pothole: Term used in England for vertical or steeply inclined shaft in limestone.
pseudokarst,,"produced by a process other than the dissolving of rock , such as the rough surface above a lava field",,,rough surface above a lava field,,"pseudokarst: Karstlike terrain produced by a process other than the dissolving of rock, such as the rough surface above a lava field, where the ceilings of lava tubes have collapsed Features of pseudokarst include lava tunnels, lava tubes, lava stalactites, and lava stalagmites. rough surface above a lava field"
residual clay,,remaining on a rock surface after removal of calcium carbonate by solution,,,,,residual clay: Clay or sandy clay remaining on a rock surface after removal of calcium carbonate by solution.
resurgence,Point,,,,Point at which an underground stream reaches the surface and becomes a surface stream,,"resurgence: Point at which an underground stream reaches the surface and becomes a surface stream. In European literature, the term is reserved for the reemergence of a stream that has earlier sunk upstream; the term exsurgence is applied to a stream without known surface headwaters."
rice paddy,pool .,,terraced rimstone,,In a cave,,"rice paddy: In a cave, a terraced rimstone pool."
rift,cave passage,controlled by joints or faults .,long narrow high,,,,rift: A long narrow high cave passage controlled by joints or faults.
rill,groove,solution,,,most common in arid or semiarid areas|on surface exposures of limestone,Small,rill: Small solution groove on surface exposures of limestone; most common in arid or semiarid areas.
Rillenstein,,Microsolution,,,on rock surface,,Rillenstein: Microsolution grooves and pitting on rock surface.
rimstone,,,,,"formed around the rims of overflowing basins , especially in caves",,"rimstone: Calcareous deposits formed around the rims of overflowing basins, especially in caves."
rimstone barrage,,,wall-shaped,"that impounds pools of water in caves , around springs , and in cascades of streams saturated with calcium bicarbonate","in caves , around springs",,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone barrier,,,wall-shaped,"that impounds pools of water in caves , around springs , and in cascades of streams saturated with calcium bicarbonate","in caves , around springs",,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone dam,,,wall-shaped,"that impounds pools of water in caves , around springs , and in cascades of streams saturated with calcium bicarbonate","in caves , around springs",,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
gour,,,wall-shaped,"that impounds pools of water in caves , around springs , and in cascades of streams saturated with calcium bicarbonate","in caves , around springs",,"rimstone barrage, rimstone barrier, rimstone dam: A wall-shaped deposit that impounds pools of water in caves, around springs, and in cascades of streams saturated with calcium bicarbonate. Synonym, gour. in caves, around springs"
rimstone pool,Pool,kept in place by a rimstone dam,,,,,rimstone pool: Pool kept in place by a rimstone dam.
rise,Spring,,,,rising from fractures in limestone,,rise: Spring rising from fractures in limestone. Point at which an underground stream comes to the surface. in limestone
rock pillar,,,A residual isolated mass of bedrock linking the roof or overhanging wall and floor of a cave,,,,"rock pillar: A residual isolated mass of bedrock linking the roof or overhanging wall and floor of a cave, in contrast with a column, which is composed of dripstone or flowstone. mass of bedrock"
rock pinnacle,projection of bedrock,,A tall sharp projection of bedrock,,rising from the floor of a cave,,rock pinnacle: A tall sharp projection of bedrock rising from the floor of a cave.
rock shelter,cave,"where streams have undercut their banks at bends , or where there has been abrasion by blowing sand",Shallow,,Common in tropical areas at places where a secondarily hardened layer of limestone forms a ledge that projects over unindurated limestone|under an overhanging rock ledge,,"rock shelter: Shallow cave under an overhanging rock ledge. Many sea caves are rock shelters. Also found in limestone and other rock types where streams have undercut their banks at bends, or where there has been abrasion by blowing sand. Common in tropical areas at places where a secondarily hardened layer of limestone forms a ledge that projects over unindurated limestone."
roof crust,Flowstone,"thin films of water , which have crept over the rock from pore or crack sources .",,,deposited on ceilings of caves,,"roof crust: Flowstone deposited on ceilings of caves from thin films of water, which have crept over the rock from pore or crack sources."
room,cave,,,,,that is wider than a passage,room: A part of a cave system that is wider than a passage. Synonym: chamber.
chamber,cave,,,,,that is wider than a passage,room: A part of a cave system that is wider than a passage. Synonym: chamber.
sand stalagmite,stalagmite,,,,formed on sand,,sand stalagmite: A stalagmite formed on sand and made of calcite cemented sandstone.
scaling chip,,which has fallen from the ceiling or wall of a eave,"thin small rather irregular piece of limestone , commonly crumbly",,,,"scaling chip: A thin small rather irregular piece of limestone, commonly crumbly, which has fallen from the ceiling or wall of a eave. A form of cave breakdown. limestone"
scaling plate,piece of rock,that has fallen to the floor of a cave,A small flat piece of rock of rectangular or polygonal shape|cut by closely spaced joints,,,,"scaling plate: A small flat piece of rock of rectangular or polygonal shape, that has fallen to the floor of a cave. A form of cave breakdown in thin-tedded impure limestone cut by closely spaced joints."
scallop,hollow,,Oval hollow having an asymmetric cross section along its main axis|since they are steeper on the upstream side,,Scallops form patterns on tl e walls of caves and in streambeds,,"scallop: Oval hollow having an asymmetric cross section along its main axis. Scallops form patterns on tl e walls of caves and in streambeds and were used by Bretz to determine direction of flow of turbulent water, since they are steeper on the upstream side. Commonly called flutes in America."
sea cave,cave or cleft,eroded by waves or currerts or dissolved by water,,,in a sea cliff,,sea cave: A cave or cleft in a sea cliff eroded by waves or currerts or dissolved by water.
shaft,passage,,vertical,,in a cave,,shaft: A vertical passage in a cave.
shake shakehole,doline,especially one formed by subsidence,,,,,"shake, shakehole: Term used mainly by cavers to indicate a doline, especially one formed by subsidence."
shake shakehole,Hole,"formed by solution , subsidence , and compaction",,,,,"shake, shakehole: Hole formed by solution, subsidence, and compaction in loose draft or alluvium overlying beds of limestone."
shawl,curtain,by trickling water,triangular-shaped,,"formed on walls , shelves , benches , and terraces",,"shawl: Simple triangular-shaped curtain, sheet. A thin coating of calcium carbonate formed on walls, shelves, benches, and terraces by trickling water."
shield,speleothem,,disk-shaped,,standing edgewise at a high angle,,shield: A disk-shaped speleothem standing edgewise at a high angle.
sink sinkhole,closed depressions,,"They may be basin , funnel , or cylindrical shaped",,,,"sink, sinkhole: General terms for closed depressions. They may be basin, funnel, or cylindrical shaped."
sinkhole plain,Plain,,,nearly all drainage is subterranean,,,sinkhole plain: Plain on which most of the local relief is due to closed depressions and nearly all drainage is subterranean.
sinkhole pond,,due to an impervious clay floor or to intersection of depression with the water table,,,in closed depression,Small,"sinkhole pond: Small lake in closed depression in limestone, due to an impervious clay floor or to intersection of depression with the water table."
sinking creek,stream,,,that disappears underground,,small,sinking creek: A small stream that disappears underground.
sinter,mineral precipitate,deposited by a mineral spring,,,,,"sinter: A mineral precipitate deposited by a mineral spring, either hot or cold. Siliceous sinter, consisting of silica, is also called geyserite and fiorite; calcareous sinter, consisting of calcium carbonate, is also called tufa, travertine, and onyx marble."
siphon,cave passage,,,,in which the ceiling dips below a water surface,,"siphon: In speleology, a cave passage in which the ceiling dips below a water surface. water"
slump pit,hollow,caused by erosion beneath the fill,,,the clay fill of a cave floor,,slump pit: A hollow in the clay fill of a cave floor caused by erosion beneath the fill.
Kamenitza Opferkessel panhole,solution basin,solution,generally characterized by flat bottom and overhanging sides|Shallow,,,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
solution pan,solution basin,solution,generally characterized by flat bottom and overhanging sides|Shallow,,,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
tinajita,solution basin,solution,generally characterized by flat bottom and overhanging sides|Shallow,,,,"solution pan: Shallow solution basin formed on bare limestone, generally characterized by flat bottom and overhanging sides. Synonyms: Kamenitza; Opferkessel; panhole; tinajita."
solution pipe,hole,attributable to solution,often without surface expression|vertical cylindrical,,,,"solution pipe: A vertical cylindrical hole attributable to solution, often without surface expression, filled with debris, such as sand, clay, rock chips, and bones. Synonym: sand pipe. See also geologic organ."
sotano,vertical shafts,,deep vertical,,,deep,"sotano: Term used in Mexico for deep vertical shafts in limestone, which may or may not lead to a cave. deep"
speleogen,cave structure,formed by dissolving,,,,,"speleogen: A secondary cave structure formed by dissolving, such as a dome pit or a scallop. cave"
speleology,scientific study,,,,,,"speleology: The scientific study, exploration, and description of caves and related features."
speleothem,mineral deposit,,,,formed in caves,,"speleothem: A secondary mineral deposit formed in caves, such as stalactite or stalagmite. Synonym: cave formation."
Spitzkegelkarst,karst topography,,sharply pointed,,,,Spitzkegelkarst: Tropical karst topography containing sharply pointed residual limestone hills. sharply pointed
splash cup,,,shallow,,in the top of a stalagmite,,splash cup: The shallow concavity in the top of a stalagmite.
spongework,cavities,,A complex of irregular interconnecting cavities with intricate perforation of the rock,,,The cavities may be large or small,spongework: A complex of irregular interconnecting cavities with intricate perforation of the rock. The cavities may be large or small.
spring,discharge of water,,,discharge of water,from rock or soil onto the surface of the land or into a body of surface water,,spring: Any natural discharge of water from rock or soil onto the surface of the land or into a body of surface water.
squeeze,,,narrow,,,just passable with effort,squeeze: A narrow passage or opening just passable with effort. Differs from flattener in that there is little spare space in any direction.
stagmalite,,,,,,,stagmalite: A general term including stalactite and stalagmite. Superseded by dripstone.
stalactite,,formed by dripping water,generally having a hollow tube at its center|cylindrical or conical,,hanging from the roof of a cave,,"stalactite: A cylindrical or conical deposit of minerals, generally calcite, formed by dripping water, hanging from the roof of a cave, generally having a hollow tube at its center."
stalagmite,,formed by precipitation from a bicarbonate solution through loss of CO2,,,rising from the floor of a limestone cave,,"stalagmite: A deposit of calcium carbonate rising from the floor of a limestone cave, formed by precipitation from a bicarbonate solution through loss of CO2. cave"
steephead,valley,,terminating at its upslope end in an amphitheater|deeply cut,at the foot of which a stream may emerge,,generally short,"steephead: A deeply cut valley, generally short, terminating at its upslope end in an amphitheater, at the foot of which a stream may emerge."
straw stalactite,stalactite,,Thin tubular,,,generally less than a centimeter in diameter and of very great length,"straw stalactite: Thin tubular stalactite, generally less than a centimeter in diameter and of very great length; also called soda straw."
soda straw,stalactite,,Thin tubular,,,generally less than a centimeter in diameter and of very great length,"straw stalactite: Thin tubular stalactite, generally less than a centimeter in diameter and of very great length; also called soda straw."
stream sink,,,,,Point at which a surface stream sinks into the ground,,stream sink: Point at which a surface stream sinks into the ground.
streamtube,,,,,,,"streamtube: A cave passage completely filled, or formerly filled, with fast-moving water and whose ceiling and walls normally possess scallops."
struga,corridor,,,,formed along a bedding plane in karst country,,struga: A corridor formed along a bedding plane in karst country.
subjacent karst,Karst landscape,due to presence of karstified rocks beneath the surface formation,,,,,subjacent karst: Karst landscape in noncarbonate rocks due to presence of karstified rocks beneath the surface formation.
submarine spring,offshore emergence,,,,offshore,Large,"submarine spring: Large offshore emergence, generally from cavernous limestone, but in some areas from beds of lava."
subsidence,,Lowering of the surface of the ground because of removal of support|Caused in karst areas by subterranean solution or collapse of caves,,,,,subsidence: Lowering of the surface of the ground because of removal of support. Caused in karst areas by subterranean solution or collapse of caves.
subterranean river,Underground stream,,,,Underground,not necessarily large,"subterranean river: Underground stream of flowing water, not necessarily large."
sump,,,pool of underground water,,on an underground stream,,"sump: A pool of underground water or point on an underground stream that has a submerged extension, the nature of which has not been determined."
swallow hole,,,,place where water disappears urderground|implies water loss,in a closed depression or blind valley,,"swallet, swallow hole: A place where water disappears urderground in a limestone region. A swallow hole generally implies water loss in a closed depression or blind valley, whereas a swallet may refer to water loss into alluvium at a streambed, even though there is no depression."
swallet,,,,place where water disappears urderground|implies water loss,in a closed depression or blind valley,,"swallet, swallow hole: A place where water disappears urderground in a limestone region. A swallow hole generally implies water loss in a closed depression or blind valley, whereas a swallet may refer to water loss into alluvium at a streambed, even though there is no depression."
syngenetic karst,Karst,,,,where lithification of dune sands and productior of karst phenomena occurred simultaneously,,syngenetic karst: Karst developed in eolian calcarenite where lithification of dune sands and productior of karst phenomena occurred simultaneously.
terraced flowstone,,,,,on outward-sloping walls,Shallow,terraced flowstone: Shallow rimstone pools on outward-sloping walls.
threshold,,,,,to which light penetrates in some degree,,threshold: That part of a cave system to which light penetrates in some degree.
through cave,Cave,,,through which a stream runs from entrance to exit or formerly did so,,,through cave: Cave through which a stream runs from entrance to exit or formerly did so. Synonym: Durchgangshohle.
Durchgangshohle,Cave,,,through which a stream runs from entrance to exit or formerly did so,,,through cave: Cave through which a stream runs from entrance to exit or formerly did so. Synonym: Durchgangshohle.
torca,closed depression,,more or less circular,,,Large,"torca: Large closed depression, more or less circular; a doline."
torricellian chamber,,,,,submerged,,"torricellian chamber: A submerged airfilled chamber of a cave at a pressure below atmospheric pressure, sealed by water, having an air-water surface above that of adjacent free air-water surfaces."
tourelle,tower,,flat-topped,,in karst areas,little|small,"tourelle: A little tower; applied to small flat-topped buttes of limestone in karst areas. Contrasted with pitons, which have pointed tops, and with coupoles, which have rounded tops."
tower karst,Karst,,"characterized by isolated limestone hills separated by areas of alluvium or other detrital sand|towers are generally steep-sided forest-covered hills , and many have flat tops",,,,"tower karst, Turmkarst: Karst topography characterized by isolated limestone hills separated by areas of alluvium or other detrital sand; towers are generally steep-sided forest-covered hills, and many have flat tops."
Turmkarst,Karst,,"characterized by isolated limestone hills separated by areas of alluvium or other detrital sand|towers are generally steep-sided forest-covered hills , and many have flat tops",,,,"tower karst, Turmkarst: Karst topography characterized by isolated limestone hills separated by areas of alluvium or other detrital sand; towers are generally steep-sided forest-covered hills, and many have flat tops."
travertine,"Calcium carbonate , CaCO2",deposited from solution in ground and surface waters,light in color and generally concretionary and compact,,,,"travertine: Calcium carbonate, CaCO2, light in color and generally concretionary and compact, deposited from solution in ground and surface waters. Extremely porous or cellular varieties are known as calcareous tufa, calcareous sinter, or spring deposit. Compact banded varieties, capable of taking a polish, are called onyx marble or cave onyx."
tube,cave passage,,of elliptical or nearly circular cross section|smooth-surfaced,,,,tube: A smooth-surfaced cave passage of elliptical or nearly circular cross section.
turlough,depression,,,that is liable to flood either from excess surface runoff or from rising ground water,,,turlough: A depression in limestone or in glacial drift over limestone that is liable to flood either from excess surface runoff or from rising ground water.
uvala,depression,formed by the coalesence of several dolines,closed,,,Large,uvala: Large closed depression formed by the coalesence of several dolines; compound doline. depression
vadose water,Water,,,,ir the zone of aeration|above the zone of saturation,,vadose water: Water ir the zone of aeration; water above the zone of saturation. aeration saturation
valley sink,depression,,series of interconnecting depressions forming a valleylike depression|elongated closed,,,,valley sink: An elongated closed depression or series of interconnecting depressions forming a valleylike depression.
vauclusian spring,spring exsurgence,,,is impenetrable except with diving apparatus,,large,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring."
gushing spring,spring exsurgence,,,is impenetrable except with diving apparatus,,large,"vauclusian spring: A large spring or exsurgence of an underground river, generally from limestone, that varies greatly in output and is impenetrable except with diving apparatus. Synonym: gushing spring."
wall slab,block of rock,which has fallen outward from the wall of a cave in limestone,thin,,,large,"wall slab: A thin but large block of rock, which has fallen outward from the wall of a cave in limestone in which the dip is nearly vertical."
water trap,,,,,A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on,,water trap: A place where the roof of a chamber or passage of a cave dips under water but lifts again farther on. Synonym: trap.
well,shaft or hole,,,"to obtain water , oil , gas , or minerals",sunk into the earth,,"well: A shaft or hole sunk into the earth to obtain water, oil, gas, or minerals."
well,hole or shaft,,deep vertical rounded|vertical rounded,,in the floor of a cave or at the bottom of a closed depression,deep,well: A deep vertical rounded hole or shaft in the floor of a cave or at the bottom of a closed depression. deep vertical rounded
window,natural opening,,larger and less symmetrical than a porthole,giving access to an adjoining cavity or to the surface,above the floor of a passage or a room,,"window: In speleology, a natural opening above the floor of a passage or a room, giving access to an adjoining cavity or to the surface; larger and less symmetrical than a porthole."
window,opening,natural,,,under the arch of a small natural bridge,small,window: The opening under the arch of a small natural bridge. small natural
zanjon,solution trench,Apparently they form by the widening and deepening of joints by solution|solution,,,,Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth,"zanjon: In Puerto Pico, solution trench in limestone. Zanjones range from a few centimeters to about 3 meters in width and from about 1 to 4 meters in depth. Apparently they form by the widening and deepening of joints by solution."
zone of aeration,zone,,,,above the zone saturated with water,,zone of aeration: The zone in permeable soil or rock that is above the zone saturated with water; the zone of vadose water.
Zwischenhohle,Cave,,,"in which a river passage , or former river passage , is entered from above or laterally and which can be for owed upstream and downstream some distance but not to daylight",,,"Zwischenhohle: Cave in which a river passage, or former river passage, is entered from above or laterally and which can be for owed upstream and downstream some distance but not to daylight."
Jamas,shafts,,sinking deep into the carbonate massive,,,of greater dimensions,"Jamas are shafts of greater dimensions, sinking deep into the carbonate massive."
zone of vertical circulation,area,,area with large joints,"through which the water circulates quickly , predominantly in the ver - tical direction , down to the groundwater level .",,,"The zone of vertical circulation is an area with large joints through which the water circulates quickly, predominantly in the ver - tical direction, down to the groundwater level."
Mines,excavations in the bedrock,fresh excavations in the bedrock,,,,,"Mines are fresh excavations in the bedrock and it is the stress pattern around the opening that determines such hazards as rock bursts, spalling, and roof collapse (Brady and Brown, 1993)."
speleothems,Mineral deposits,,"take on the form of stalactites , stalagmites , flowstone , and other forms",,,,"Mineral deposits take on the form of stalactites, stalagmites, flowstone, and other forms known collectively as speleothems."
conduits,underground pathways,,,through which water moves from sinkholes and sinking streams to the outlets at springs,,,The underground pathways in limestone through which water moves from sinkholes and sinking streams to the outlets at springs are known as conduits.
aeolian cave,bowl-shaped chamber,,bowl-shaped,,,,A typical aeolian cave is a bowl-shaped chamber carved in solid rock.
Lava conduits,,by the crusting over of channels .|by a process called inflation,,,form on the sides of volcanoes|within streams of lava,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
tubes tunnels,,by the crusting over of channels .|by a process called inflation,,,form on the sides of volcanoes|within streams of lava,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
pyroducts,,by the crusting over of channels .|by a process called inflation,,,form on the sides of volcanoes|within streams of lava,,"Lava conduits (also known as tubes, tunnels, or pyroducts) form on the sides of volcanoes within streams of lava by a process called inflation or by the crusting over of channels."
microbial draperies,,,,,on subaerial cave-wall surfaces|active sulfidic caves,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
cave-wall biofilms,,,,,on subaerial cave-wall surfaces|active sulfidic caves,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
Biofilms,,,,,on subaerial cave-wall surfaces|active sulfidic caves,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
snottites,,,,,on subaerial cave-wall surfaces|active sulfidic caves,,"Biofilms on subaerial cave-wall surfaces, referred to as microbial draperies, cave-wall biofilms, or snottites, have been described from the several active sulfidic caves."
doline,,,,,,,"The Slav term doline means “ depression ” and in a broad sense includes channels and hollows of different types, such as fluvial valleys, dry valleys, blind valleys, uvalas, poljes, and karst dolines."
tiankeng,collapse doline,,with perimeter walls that are close to vertical,,,"at least 100 m long , wide and deep","A tiankeng is a collapse doline at least 100 m long, wide and deep, and with perimeter walls that are close to vertical (Zhu and Waltham, 2006)."
cenotes,collapse doline,resulting from the collapse of the roof of submerged cavities,open depressions,giving access to the water table,in the coastal karst belts,,"A particular type of collapse doline is the cenotes, open depressions in the coastal karst belts giving access to the water table and resulting from the collapse of the roof of submerged cavities."
Subsidence dolines,closed depressions,caused by the subsiding of an area .,,,,,Subsidence dolines are closed depressions caused by the subsiding of an area.
Intersection dolines,depressions,"formed when an old cave system , partially or totally filled with sediments , is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion",,,,,"Intersection dolines are depressions formed when an old cave system, partially or totally filled with sediments, is cut by the topographic surface as a consequence of the lowering of such a surface by chemical erosion."
compound hollow,form,originated from the fusion of simpler forms,,,,,A compound hollow is a form that originated from the fusion of simpler forms.
polygenetic sink,closed depression,evolved through both the karst process and another morphogenetic process,,,,,A polygenetic sink is a closed depression that clearly evolved through both the karst process and another morphogenetic process.
tecto-karstic hollow,closed basin,evolved through karst processes,closed basin,,inside a tectonic depression,,A tecto-karstic hollow is a closed basin that developed inside a tectonic depression that also evolved through karst processes.
Poljes,closed depressions,,closed depressions,,in the karst terrains,the largest closed depressions|largest,Poljes are the largest closed depressions observed in the karst terrains. largest closed depressions
polje,karst depression,,"with a wide , flat and nearly horizontal floor , completely enclosed between steep slopes",,,large,"In 1895, Cvijic defined a polje as a large karst depression, with a wide, flat and nearly horizontal floor, completely enclosed between steep slopes."
peripheral polje,depression,,,,,,A peripheral polje is a depression fed by a large internal area of impermeable rocks with a centrifugal stream network.
base-level polje,polje,,with a floor cut entirely across karst rocks,,,,"A base-level polje is a polje with a floor cut entirely across karst rocks and is affected by the vertical oscillations of the water table; consequently, it is inundated during high-level periods."
littoral cave,cave,,,,within the range of tides,,"The precise scientific name is littoral cave, meaning a cave formed within the range of tides."
Sea caves,caves,form by wave erosion,,,in coastal areas that contain exposed bedrock,,Sea caves are caves that form by wave erosion in coastal areas that contain exposed bedrock.
flank margin caves,series of oval rooms,result of developing in the thinning margin of the freshwater lens,series of oval rooms,,,"extensive in the horizontal direction , but limited in the vertical direction|from pore size up to large chambers","The flank margin caves are a series of oval rooms from pore size up to large chambers, which tend to be extensive in the horizontal direction, but limited in the vertical direction, a result of developing in the thinning margin of the freshwater lens (Fig."
Blue holes,subsurface voids,,open to the Earth ’ s surface|subsurface voids,provide access to submerged cave passages,extend below sea level for a majority of their depth|developed in carbonate banks and islands,,"Blue holes are defined as subsurface voids that are developed in carbonate banks and islands; are open to the Earth ’ s surface; contain tidally-influenced waters of fresh, marine, or mixed chemistry; extend below sea level for a majority of their depth; and may provide access to submerged cave passages."
Limonite,,,,,,,Limonite is a generic term that refers to both mineral and amorphous forms of iron oxides and hydroxides.
sandstone,rock,,,,,,The sandstone is a rock made of cemented quartz sand that is very resistant to erosion.
Karst forms,karst features,formed mainly by solutional processes of carbonate rocks,,,surface and subsurface,,Karst forms are surface and subsurface karst features formed mainly by solutional processes of carbonate rocks of the region which are extremely well folded and fractured due to tectonic events. solutional processes
Collapse dolines,features,,,,above known large caves,,Collapse dolines are common features of the Dinaric karst and are especially numerous above known large caves.
Karst poljes,karst depressions,result of solutional processes and karst water drainage,depressions with flat bottoms,,,large,"Karst poljes are large karst depressions with flat bottoms, which are the result of solutional processes and karst water drainage."
dry valleys,Remnants of old river streams,because water is lost in karst or is in a much lower position,lack an active watercourse over all or parts of their length,,,,"Remnants of old river streams are dry valleys, which lack an active watercourse over all or parts of their length for at least part of the year, because water is lost in karst or is in a much lower position."
Calcretes,carbonate deposits,as a result of concentration processes by near-surface evaporation|forming from groundwater,,,near the water table in arid lands,,Calcretes are carbonate deposits forming from groundwater near the water table in arid lands as a result of concentration processes by near-surface evaporation.
marginal cave,,the origin of such caves was due to wave action and their gradual loss of connection to the sea,,,by its position at the sea coast,,"Riedl defined the marginal cave by its position at the sea coast, the presence of brackish water, and the presence of troglobiotic species in it, but he also supposed that the origin of such caves was due to wave action and their gradual loss of connection to the sea."
halocline,layer,,,,where the salinity abruptly changes,,The halocline is a layer where the salinity abruptly changes (sometimes from polyhaline to nearly limnic).
Glaciers,sedimentary formations of seasonal snow,,,,accumulates on the upper elevations of a glacier,,Glaciers are sedimentary formations of seasonal snow that accumulates on the upper elevations of a glacier and buries the previous season ’ s accumulation.
Denuded karst,former intrastratal karst,with substantial inheritance of solution porosity from the preceding stages of intrastratal development,,,,,"Denuded karst is former intrastratal karst that develops where the soluble rock has been almost completely exposed from beneath the cover, but with substantial inheritance of solution porosity from the preceding stages of intrastratal development."
Open karst,karst,,,,,,"Open karst is karst that commences only after exposure of the soluble rock, without any significant intrastratal karstification."
Gypsum needles,"straight , clear crystals",that grow by extrusion from the soil,"straight , clear",,in some caves,,"Gypsum needles are straight, clear crystals that grow by extrusion from the soil in some caves."
cave cotton,mass of tangled fibers,,,,,generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers,"As the name implies, cave cotton is a mass of tangled fibers generally with fiber lengths of a few tens of centimeters but diameters of tens or hundreds of micrometers."
pores,the open spaces,,,available for the storage of water,In porous media aquifers|between mineral grains,,"In porous media aquifers, pores between mineral grains are the open spaces available for the storage of water."
Porosity,ratio of the volume of pores,,,,,,Porosity is defined as the ratio of the volume of pores to the volume of bulk rock and is usually expressed as a percentage.
Karst springs,outlets,,,draining open conduit systems,,,Karst springs are the outlets draining open conduit systems.
Hydrothermal karst,hypogene karst,,,,,,Hydrothermal karst is a special case of hypogene karst.
Network caves,angular grids of intersecting passages,formed by widening of nearly all major fractures,,,within favorable areas of soluble rocks,,Network caves are angular grids of intersecting passages formed by widening of nearly all major fractures within favorable areas of soluble rocks.
bamboo thermoindicator,ice stalagmite,,,,,,"A particular type of ice stalagmite, known as bamboo or thermoindicator, consists of successions of perfectly transparent ice knobs and narrow sections of opaque ice."
Longitudinal rills,suites of vertical grooves,that develop where a water film flows down a high angle rock face,vertical,,,,Longitudinal rills / flutes are suites of vertical grooves that develop where a water film flows down a high angle rock face.
flutes,suites of vertical grooves,that develop where a water film flows down a high angle rock face,vertical,,,,Longitudinal rills / flutes are suites of vertical grooves that develop where a water film flows down a high angle rock face.
